lookback,atr_threshold,total_return,total_trades,win_rate,final_equity
21,0.005,0.3423272920291349,4,0.75,1.342327292029135
21,0.008,0.3423272920291349,4,0.75,1.342327292029135
21,0.01,0.3423272920291349,4,0.75,1.342327292029135
21,0.015,0.3423272920291349,4,0.75,1.342327292029135
21,0.02,0.3423272920291349,4,0.75,1.342327292029135
17,0.02,0.34056681219444385,5,0.6,1.3405668121944438
5,0.02,0.301099022263984,16,0.4375,1.301099022263984
11,0.02,0.2854165908408801,8,0.625,1.2854165908408801
23,0.0,0.1940782107195238,4,0.75,1.1940782107195238
23,0.002,0.1940782107195238,4,0.75,1.1940782107195238
23,0.005,0.1940782107195238,4,0.75,1.1940782107195238
23,0.008,0.1940782107195238,4,0.75,1.1940782107195238
23,0.01,0.1940782107195238,4,0.75,1.1940782107195238
23,0.015,0.1940782107195238,4,0.75,1.1940782107195238
23,0.02,0.1940782107195238,4,0.75,1.1940782107195238
25,0.0,0.1940782107195238,4,0.75,1.1940782107195238
25,0.002,0.1940782107195238,4,0.75,1.1940782107195238
25,0.005,0.1940782107195238,4,0.75,1.1940782107195238
25,0.008,0.1940782107195238,4,0.75,1.1940782107195238
25,0.01,0.1940782107195238,4,0.75,1.1940782107195238
25,0.015,0.1940782107195238,4,0.75,1.1940782107195238
25,0.02,0.1940782107195238,4,0.75,1.1940782107195238
27,0.0,0.09121663130313573,4,0.5,1.0912166313031357
27,0.002,0.09121663130313573,4,0.5,1.0912166313031357
27,0.005,0.09121663130313573,4,0.5,1.0912166313031357
27,0.008,0.09121663130313573,4,0.5,1.0912166313031357
27,0.01,0.09121663130313573,4,0.5,1.0912166313031357
27,0.015,0.09121663130313573,4,0.5,1.0912166313031357
27,0.02,0.09121663130313573,4,0.5,1.0912166313031357
41,0.0,0.08017992669366758,3,0.3333333333333333,1.0801799266936676
41,0.002,0.08017992669366758,3,0.3333333333333333,1.0801799266936676
41,0.005,0.08017992669366758,3,0.3333333333333333,1.0801799266936676
41,0.008,0.08017992669366758,3,0.3333333333333333,1.0801799266936676
41,0.01,0.08017992669366758,3,0.3333333333333333,1.0801799266936676
41,0.015,0.08017992669366758,3,0.3333333333333333,1.0801799266936676
41,0.02,0.08017992669366758,3,0.3333333333333333,1.0801799266936676
43,0.0,0.08017992669366758,3,0.3333333333333333,1.0801799266936676
43,0.002,0.08017992669366758,3,0.3333333333333333,1.0801799266936676
43,0.005,0.08017992669366758,3,0.3333333333333333,1.0801799266936676
43,0.008,0.08017992669366758,3,0.3333333333333333,1.0801799266936676
