fast,slow,atr,total_return,total_trades,win_rate,final_equity
3,55,0.003,0.34989640721676607,5,0.8,1.349896407216766
3,55,0.005,0.34989640721676607,5,0.8,1.349896407216766
3,55,0.008,0.34989640721676607,5,0.8,1.349896407216766
3,55,0.01,0.34989640721676607,5,0.8,1.349896407216766
3,55,0.015,0.34989640721676607,5,0.8,1.349896407216766
3,55,0.02,0.34989640721676607,5,0.8,1.349896407216766
3,65,0.0,0.34494646965741316,6,0.5,1.3449464696574132
3,65,0.001,0.34494646965741316,6,0.5,1.3449464696574132
3,65,0.002,0.34494646965741316,6,0.5,1.3449464696574132
3,65,0.003,0.34494646965741316,6,0.5,1.3449464696574132
3,65,0.005,0.34494646965741316,6,0.5,1.3449464696574132
3,65,0.008,0.34494646965741316,6,0.5,1.3449464696574132
3,65,0.01,0.34494646965741316,6,0.5,1.3449464696574132
3,65,0.015,0.34494646965741316,6,0.5,1.3449464696574132
3,65,0.02,0.34494646965741316,6,0.5,1.3449464696574132
3,40,0.0,0.33992778144068403,9,0.6666666666666666,1.339927781440684
3,40,0.001,0.33992778144068403,9,0.6666666666666666,1.339927781440684
3,40,0.002,0.33992778144068403,9,0.6666666666666666,1.339927781440684
3,40,0.003,0.33992778144068403,9,0.6666666666666666,1.339927781440684
3,40,0.005,0.33992778144068403,9,0.6666666666666666,1.339927781440684
3,40,0.008,0.33992778144068403,9,0.6666666666666666,1.339927781440684
3,40,0.01,0.33992778144068403,9,0.6666666666666666,1.339927781440684
3,40,0.015,0.33992778144068403,9,0.6666666666666666,1.339927781440684
3,40,0.02,0.33992778144068403,9,0.6666666666666666,1.339927781440684
5,50,0.0,0.3299073163009312,5,0.8,1.3299073163009312
5,50,0.001,0.3299073163009312,5,0.8,1.3299073163009312
5,50,0.002,0.3299073163009312,5,0.8,1.3299073163009312
5,50,0.003,0.3299073163009312,5,0.8,1.3299073163009312
5,50,0.005,0.3299073163009312,5,0.8,1.3299073163009312
5,50,0.008,0.3299073163009312,5,0.8,1.3299073163009312
5,50,0.01,0.3299073163009312,5,0.8,1.3299073163009312
5,50,0.015,0.3299073163009312,5,0.8,1.3299073163009312
5,50,0.02,0.3299073163009312,5,0.8,1.3299073163009312
5,65,0.0,0.32720374119390594,6,0.6666666666666666,1.327203741193906
5,65,0.001,0.32720374119390594,6,0.6666666666666666,1.327203741193906
5,65,0.002,0.32720374119390594,6,0.6666666666666666,1.327203741193906
